order_item_id,order_id,product_id,quantity,unit_price
1,2808,200,1,41731.23
2,6905,269,3,22906.5
3,6936,72,1,38766.17
4,7903,108,5,42701.94
5,8209,222,3,24752.26
6,3802,59,3,17582.25
7,8955,242,3,56080.34
8,6097,55,1,29530.16
9,3504,160,3,3706.59
10,2083,225,3,48013.68
11,3125,91,1,5445.29
12,2118,115,5,50074.55
13,199,116,3,34133.09
14,7741,49,1,25641.62
15,5103,80,2,34745.44
16,3875,258,5,37919.4
17,6593,35,1,14955.6
18,4367,121,1,27330.49
19,310,41,3,26159.39
20,1139,86,3,39790.59
21,8649,69,1,42541.0
22,8628,195,1,48432.64
23,6281,37,2,49593.1
24,4107,116,2,34133.09
25,4335,19,3,10903.32
26,1185,11,4,42790.14
27,1895,295,1,53762.08
28,2905,200,2,41731.23
29,266,107,2,7269.77
30,5246,79,3,37354.41
31,4423,203,4,39717.64
32,1456,296,4,8967.41
33,2153,249,3,17639.04
34,3356,106,2,32441.89
35,1224,257,2,15383.71
36,1144,48,5,22969.7
37,4616,256,4,10362.09
38,5745,266,5,20581.96
39,1877,54,4,35431.72
40,291,13,1,10970.08
41,2129,30,1,35179.48
42,7006,274,4,24087.35
43,1662,184,1,29620.2
44,163,88,5,45819.2
45,8260,112,4,1277.1
46,6107,293,5,9827.68
47,1793,267,2,44042.64
48,5886,100,5,38514.93
49,4094,23,2,6354.17
50,2910,246,1,45837.56
51,6274,2,3,1877.68
52,5294,91,5,5445.29
53,2840,233,2,23869.09
54,8154,17,2,37431.18
55,1377,267,3,44042.64
56,4265,214,1,37588.43
57,2494,71,1,24990.33
58,4063,209,2,40501.29
59,1297,181,2,38918.0
60,8151,115,2,50074.55
61,8729,240,2,20940.67
62,118,152,5,50000.33
63,8102,282,5,34387.39
64,8026,68,3,46612.18
65,8957,223,2,33348.07
66,4950,295,3,53762.08
67,7847,233,2,23869.09
68,4194,263,2,755.45
69,4449,241,3,20277.26
70,6401,221,4,22217.38
71,3498,118,5,4468.27
72,2432,183,2,5615.28
73,6775,234,1,45121.33
74,6192,44,4,61503.72
75,3065,90,5,8058.36
76,6979,125,5,7386.64
77,917,228,3,38763.43
78,6841,10,3,35044.37
79,2049,86,5,39790.59
80,3653,141,5,11295.4
81,4120,256,5,10362.09
82,7786,68,4,46612.18
83,1767,81,1,11917.65
84,5387,1,5,31120.3
85,6252,120,4,42741.05
86,5466,20,4,37320.91
87,1777,261,3,1687.23
88,6679,260,2,19576.52
89,143,235,2,5741.54
90,1087,240,5,20940.67
91,7826,297,5,6080.72
92,1116,215,1,39321.82
93,4556,273,3,41092.27
94,8743,41,5,26159.39
95,8484,58,4,34093.87
96,4281,24,1,2956.74
97,2430,182,2,5023.35
98,5984,4,3,10147.08
99,3126,286,3,17563.23
100,505,153,4,20485.98
101,6917,209,3,40501.29
102,4550,100,2,38514.93
103,8535,146,1,44061.28
104,4115,260,3,19576.52
105,6371,116,1,34133.09
106,2184,106,2,32441.89
107,6406,43,1,37918.14
108,6238,103,4,30679.89
109,5226,299,4,12751.23
110,2232,241,2,20277.26
111,2335,14,4,34182.93
112,1160,254,3,8156.82
113,4971,79,5,37354.41
114,1928,10,4,35044.37
115,7672,115,1,50074.55
116,292,257,3,15383.71
117,2487,28,4,3118.64
118,7488,69,2,42541.0
119,2953,204,5,44300.99
120,2427,156,2,332.99
121,1620,198,1,37882.84
122,6020,255,1,45714.89
123,8068,178,3,21463.95
124,3329,233,5,23869.09
125,2246,177,4,5095.85
126,3504,112,1,1277.1
127,3525,11,1,42790.14
128,3881,211,1,17304.89
129,4146,247,3,40870.53
130,3335,221,1,22217.38
131,5599,289,2,22706.28
132,1999,112,3,1277.1
133,5580,143,1,39359.32
134,7398,95,3,50917.35
135,316,168,2,50437.77
136,4176,220,5,10954.5
137,4200,213,4,52260.7
138,6567,132,2,10298.46
139,8161,212,3,19946.95
140,3967,81,5,11917.65
141,1493,66,3,46618.94
142,402,235,4,5741.54
143,8972,220,1,10954.5
144,8476,33,2,27989.81
145,4886,138,2,31967.69
146,7921,156,1,332.99
147,6251,270,4,27078.98
148,8570,135,5,33626.91
149,4799,268,2,2221.88
150,8446,116,3,34133.09
151,5452,32,1,25015.0
152,7053,245,2,22621.87
153,5791,176,5,8055.34
154,5392,26,5,29810.33
155,5652,96,5,42524.25
156,6670,216,4,40558.12
157,6843,204,4,44300.99
158,2242,6,4,53260.3
159,1307,186,3,52248.71
160,4005,33,2,27989.81
